Image Index,Detector,Total Keypoints,Neighbourhood size
0,Shi-Tomasi,125,4
1,Shi-Tomasi,118,4
2,Shi-Tomasi,123,4
3,Shi-Tomasi,120,4
4,Shi-Tomasi,120,4
5,Shi-Tomasi,113,4
6,Shi-Tomasi,114,4
7,Shi-Tomasi,123,4
8,Shi-Tomasi,111,4
9,Shi-Tomasi,112,4
0,Harris,17,6
1,Harris,14,6
2,Harris,18,6
3,Harris,21,6
4,Harris,26,6
5,Harris,43,6
6,Harris,18,6
7,Harris,31,6
8,Harris,26,6
9,Harris,34,6
0,FAST,419,7
1,FAST,427,7
2,FAST,404,7
3,FAST,423,7
4,FAST,386,7
5,FAST,414,7
6,FAST,418,7
7,FAST,406,7
8,FAST,396,7
9,FAST,401,7
0,BRISK,264,11.444
1,BRISK,282,16.54
2,BRISK,282,13.07
3,BRISK,277,11.6
4,BRISK,297,12
5,BRISK,279,12.18
6,BRISK,289,11.54
7,BRISK,272,13.62
8,BRISK,266,10.57
9,BRISK,254,8.4
0,ORB,92,31
1,ORB,102,31
2,ORB,106,31
3,ORB,113,31
4,ORB,109,31
5,ORB,125,31
6,ORB,130,31
7,ORB,129,31
8,ORB,127,31
9,ORB,128,31
0,AKAZE,166,4.8
1,AKAZE,157,4.8
2,AKAZE,161,4.8
3,AKAZE,155,4.8
4,AKAZE,163,4.8
5,AKAZE,164,4.8
6,AKAZE,173,4.8
7,AKAZE,175,4.8
8,AKAZE,177,4.8
9,AKAZE,179,4.8
0,SIFT,138,2.01
1,SIFT,132,4.96
2,SIFT,124,5.1
3,SIFT,137,2.99
4,SIFT,134,3.31
5,SIFT,140,2.02
6,SIFT,137,3.03
7,SIFT,148,1.86
8,SIFT,159,2.09
9,SIFT,137,2.08
