Image Index,Detector,Descriptor,Matched points
0,Shi-Tomasi,BRISK,
1,Shi-Tomasi,BRISK,95
2,Shi-Tomasi,BRISK,88
3,Shi-Tomasi,BRISK,80
4,Shi-Tomasi,BRISK,90
5,Shi-Tomasi,BRISK,82
6,Shi-Tomasi,BRISK,79
7,Shi-Tomasi,BRISK,85
8,Shi-Tomasi,BRISK,86
9,Shi-Tomasi,BRISK,82
0,Shi-Tomasi,BRIEF,
1,Shi-Tomasi,BRIEF,115
2,Shi-Tomasi,BRIEF,111
3,Shi-Tomasi,BRIEF,104
4,Shi-Tomasi,BRIEF,101
5,Shi-Tomasi,BRIEF,102
6,Shi-Tomasi,BRIEF,102
7,Shi-Tomasi,BRIEF,100
8,Shi-Tomasi,BRIEF,109
9,Shi-Tomasi,BRIEF,100
0,Shi-Tomasi,ORB,
1,Shi-Tomasi,ORB,104
2,Shi-Tomasi,ORB,103
3,Shi-Tomasi,ORB,100
4,Shi-Tomasi,ORB,102
5,Shi-Tomasi,ORB,103
6,Shi-Tomasi,ORB,98
7,Shi-Tomasi,ORB,98
8,Shi-Tomasi,ORB,102
9,Shi-Tomasi,ORB,97
0,Shi-Tomasi,FREAK,
1,Shi-Tomasi,FREAK,90
2,Shi-Tomasi,FREAK,88
3,Shi-Tomasi,FREAK,87
4,Shi-Tomasi,FREAK,89
5,Shi-Tomasi,FREAK,83
6,Shi-Tomasi,FREAK,78
7,Shi-Tomasi,FREAK,81
8,Shi-Tomasi,FREAK,86
9,Shi-Tomasi,FREAK,84
0,Shi-Tomasi,SIFT,
1,Shi-Tomasi,SIFT,112
2,Shi-Tomasi,SIFT,109
3,Shi-Tomasi,SIFT,104
4,Shi-Tomasi,SIFT,103
5,Shi-Tomasi,SIFT,99
6,Shi-Tomasi,SIFT,101
7,Shi-Tomasi,SIFT,96
8,Shi-Tomasi,SIFT,106
9,Shi-Tomasi,SIFT,97
0,Harris,BRISK,
1,Harris,BRISK,12
2,Harris,BRISK,10
3,Harris,BRISK,14
4,Harris,BRISK,15
5,Harris,BRISK,16
6,Harris,BRISK,16
7,Harris,BRISK,15
8,Harris,BRISK,23
9,Harris,BRISK,21
0,Harris,BRIEF,
1,Harris,BRIEF,14
2,Harris,BRIEF,11
3,Harris,BRIEF,15
4,Harris,BRIEF,20
5,Harris,BRIEF,24
6,Harris,BRIEF,17
7,Harris,BRIEF,16
8,Harris,BRIEF,24
9,Harris,BRIEF,23
0,Harris,ORB,
1,Harris,ORB,12
2,Harris,ORB,13
3,Harris,ORB,16
4,Harris,ORB,18
5,Harris,ORB,24
6,Harris,ORB,18
7,Harris,ORB,15
8,Harris,ORB,24
9,Harris,ORB,20
0,Harris,FREAK,
1,Harris,FREAK,13
2,Harris,FREAK,13
3,Harris,FREAK,15
4,Harris,FREAK,15
5,Harris,FREAK,17
6,Harris,FREAK,20
7,Harris,FREAK,14
8,Harris,FREAK,21
9,Harris,FREAK,18
0,Harris,SIFT,
1,Harris,SIFT,14
2,Harris,SIFT,11
3,Harris,SIFT,16
4,Harris,SIFT,19
5,Harris,SIFT,22
6,Harris,SIFT,22
7,Harris,SIFT,13
8,Harris,SIFT,24
9,Harris,SIFT,22
0,FAST,BRISK,
1,FAST,BRISK,256
2,FAST,BRISK,243
3,FAST,BRISK,241
4,FAST,BRISK,239
5,FAST,BRISK,215
6,FAST,BRISK,251
7,FAST,BRISK,248
8,FAST,BRISK,243
9,FAST,BRISK,247
0,FAST,BRIEF,
1,FAST,BRIEF,320
2,FAST,BRIEF,332
3,FAST,BRIEF,299
4,FAST,BRIEF,331
5,FAST,BRIEF,276
6,FAST,BRIEF,327
7,FAST,BRIEF,324
8,FAST,BRIEF,315
9,FAST,BRIEF,307
0,FAST,ORB,
1,FAST,ORB,306
2,FAST,ORB,314
3,FAST,ORB,295
4,FAST,ORB,318
5,FAST,ORB,284
6,FAST,ORB,312
7,FAST,ORB,323
8,FAST,ORB,306
9,FAST,ORB,304
0,FAST,FREAK,
1,FAST,FREAK,251
2,FAST,FREAK,250
3,FAST,FREAK,228
4,FAST,FREAK,252
5,FAST,FREAK,234
6,FAST,FREAK,269
7,FAST,FREAK,252
8,FAST,FREAK,243
9,FAST,FREAK,246
0,FAST,SIFT,
1,FAST,SIFT,316
2,FAST,SIFT,325
3,FAST,SIFT,297
4,FAST,SIFT,311
5,FAST,SIFT,291
6,FAST,SIFT,326
7,FAST,SIFT,315
8,FAST,SIFT,300
9,FAST,SIFT,301
0,BRISK,BRISK,
1,BRISK,BRISK,171
2,BRISK,BRISK,176
3,BRISK,BRISK,157
4,BRISK,BRISK,176
5,BRISK,BRISK,174
6,BRISK,BRISK,188
7,BRISK,BRISK,173
8,BRISK,BRISK,171
9,BRISK,BRISK,184
0,BRISK,BRIEF,
1,BRISK,BRIEF,178
2,BRISK,BRIEF,205
3,BRISK,BRIEF,185
4,BRISK,BRIEF,179
5,BRISK,BRIEF,183
6,BRISK,BRIEF,195
7,BRISK,BRIEF,207
8,BRISK,BRIEF,189
9,BRISK,BRIEF,183
0,BRISK,ORB,
1,BRISK,ORB,160
2,BRISK,ORB,171
3,BRISK,ORB,157
4,BRISK,ORB,170
5,BRISK,ORB,154
6,BRISK,ORB,180
7,BRISK,ORB,171
8,BRISK,ORB,175
9,BRISK,ORB,172
0,BRISK,FREAK,
1,BRISK,FREAK,160
2,BRISK,FREAK,178
3,BRISK,FREAK,156
4,BRISK,FREAK,173
5,BRISK,FREAK,160
6,BRISK,FREAK,183
7,BRISK,FREAK,169
8,BRISK,FREAK,179
9,BRISK,FREAK,168
0,BRISK,SIFT,
1,BRISK,SIFT,182
2,BRISK,SIFT,193
3,BRISK,SIFT,169
4,BRISK,SIFT,183
5,BRISK,SIFT,171
6,BRISK,SIFT,195
7,BRISK,SIFT,194
8,BRISK,SIFT,176
9,BRISK,SIFT,183
0,ORB,BRISK,
1,ORB,BRISK,73
2,ORB,BRISK,74
3,ORB,BRISK,79
4,ORB,BRISK,85
5,ORB,BRISK,79
6,ORB,BRISK,92
7,ORB,BRISK,90
8,ORB,BRISK,88
9,ORB,BRISK,91
0,ORB,BRIEF,
1,ORB,BRIEF,49
2,ORB,BRIEF,43
3,ORB,BRIEF,45
4,ORB,BRIEF,59
5,ORB,BRIEF,53
6,ORB,BRIEF,78
7,ORB,BRIEF,68
8,ORB,BRIEF,84
9,ORB,BRIEF,66
0,ORB,ORB,
1,ORB,ORB,65
2,ORB,ORB,69
3,ORB,ORB,71
4,ORB,ORB,85
5,ORB,ORB,91
6,ORB,ORB,101
7,ORB,ORB,95
8,ORB,ORB,93
9,ORB,ORB,91
0,ORB,FREAK,
1,ORB,FREAK,42
2,ORB,FREAK,36
3,ORB,FREAK,45
4,ORB,FREAK,47
5,ORB,FREAK,44
6,ORB,FREAK,51
7,ORB,FREAK,52
8,ORB,FREAK,49
9,ORB,FREAK,55
0,ORB,SIFT,
1,ORB,SIFT,67
2,ORB,SIFT,79
3,ORB,SIFT,78
4,ORB,SIFT,79
5,ORB,SIFT,82
6,ORB,SIFT,95
7,ORB,SIFT,95
8,ORB,SIFT,94
9,ORB,SIFT,94
0,SIFT,BRISK,
1,SIFT,BRISK,64
2,SIFT,BRISK,66
3,SIFT,BRISK,62
4,SIFT,BRISK,66
5,SIFT,BRISK,59
6,SIFT,BRISK,64
7,SIFT,BRISK,64
8,SIFT,BRISK,67
9,SIFT,BRISK,80
0,SIFT,BRIEF,
1,SIFT,BRIEF,86
2,SIFT,BRIEF,78
3,SIFT,BRIEF,76
4,SIFT,BRIEF,85
5,SIFT,BRIEF,69
6,SIFT,BRIEF,74
7,SIFT,BRIEF,76
8,SIFT,BRIEF,70
9,SIFT,BRIEF,88
0,SIFT,FREAK,
1,SIFT,FREAK,64
2,SIFT,FREAK,72
3,SIFT,FREAK,65
4,SIFT,FREAK,66
5,SIFT,FREAK,63
6,SIFT,FREAK,58
7,SIFT,FREAK,64
8,SIFT,FREAK,65
9,SIFT,FREAK,79
0,SIFT,SIFT,
1,SIFT,SIFT,82
2,SIFT,SIFT,81
3,SIFT,SIFT,85
4,SIFT,SIFT,93
5,SIFT,SIFT,90
6,SIFT,SIFT,81
